,CODE,시도명,시군구명,신설법인수
0,41820,경기도,가평군,180
1,11680,서울특별시,강남구,7628
2,11740,서울특별시,강동구,668
3,42150,강원도,강릉시,310
4,11305,서울특별시,강북구,318
5,11500,서울특별시,강서구,2227
6,26440,부산광역시,강서구,2227
7,46810,전라남도,강진군,88
8,28710,인천광역시,강화군,159
9,48310,경상남도,거제시,329
10,48880,경상남도,거창군,111
11,47290,경상북도,경산시,470
12,47130,경상북도,경주시,473
13,44250,충청남도,계룡시,53
14,28245,인천광역시,계양구,348
15,47830,경상북도,고령군,72
16,42820,강원도,고성군,178
17,48820,경상남도,고성군,178
18,41281,경기도,고양시,1980
19,41285,경기도,고양시,1980
20,41287,경기도,고양시,1980
21,45790,전라북도,고창군,134
22,46770,전라남도,고흥군,121
23,46720,전라남도,곡성군,59
24,44150,충청남도,공주시,278
25,41290,경기도,과천시,73
26,11620,서울특별시,관악구,526
27,41210,경기도,광명시,435
28,29200,광주광역시,광산구,1079
29,46230,전라남도,광양시,261
30,41610,경기도,광주시,1139
31,11215,서울특별시,광진구,687
32,43760,충청북도,괴산군,105
33,46730,전라남도,구례군,33
34,11530,서울특별시,구로구,1685
35,41310,경기도,구리시,357
36,47190,경상북도,구미시,678
37,45130,전라북도,군산시,649
38,47720,경상북도,군위군,46
39,41410,경기도,군포시,404
40,44710,충청남도,금산군,155
41,26410,부산광역시,금정구,351
42,11545,서울특별시,금천구,1951
43,26710,부산광역시,기장군,337
44,45210,전라북도,김제시,290
45,47150,경상북도,김천시,249
46,41570,경기도,김포시,2126
47,48250,경상남도,김해시,934
48,46170,전라남도,나주시,416
49,26290,부산광역시,남구,1641
50,27200,대구광역시,남구,1641
51,29155,광주광역시,남구,1641
52,31140,울산광역시,남구,1641
53,28200,인천광역시,남동구,999
54,41360,경기도,남양주시,1839
55,45190,전라북도,남원시,185
56,48840,경상남도,남해군,54
57,11350,서울특별시,노원구,357
58,44230,충청남도,논산시,220
59,43800,충청북도,단양군,42
60,27290,대구광역시,달서구,768
61,27710,대구광역시,달성군,365
62,46710,전라남도,담양군,151
63,44270,충청남도,당진시,372
64,30230,대전광역시,대덕구,351
65,11320,서울특별시,도봉구,241
66,26170,부산광역시,동구,1874
67,27140,대구광역시,동구,1874
68,28140,인천광역시,동구,1874
69,29110,광주광역시,동구,1874
70,30110,대전광역시,동구,1874
71,31170,울산광역시,동구,1874
72,11230,서울특별시,동대문구,567
73,41250,경기도,동두천시,167
74,26260,부산광역시,동래구,359
75,11590,서울특별시,동작구,370
76,42170,강원도,동해시,124
77,11440,서울특별시,마포구,1822
78,46110,전라남도,목포시,450
79,46840,전라남도,무안군,194
80,45730,전라북도,무주군,66
81,47280,경상북도,문경시,104
82,28177,인천광역시,미추홀구,404
83,48270,경상남도,밀양시,161
84,44180,충청남도,보령시,208
85,46780,전라남도,보성군,84
86,43720,충청북도,보은군,50
87,47920,경상북도,봉화군,72
88,26230,부산광역시,부산진구,634
89,45800,전라북도,부안군,123
90,44760,충청남도,부여군,123
91,41190,경기도,부천시,1499
92,28237,인천광역시,부평구,624
93,26320,부산광역시,북구,2255
94,27230,대구광역시,북구,2255
95,29170,광주광역시,북구,2255
96,31200,울산광역시,북구,2255
97,26530,부산광역시,사상구,392
98,48240,경상남도,사천시,137
99,26380,부산광역시,사하구,249
100,48860,경상남도,산청군,70
101,42230,강원도,삼척시,119
102,47250,경상북도,상주시,113
103,26140,부산광역시,서구,3891
104,27170,대구광역시,서구,3891
105,28260,인천광역시,서구,3891
106,29140,광주광역시,서구,3891
107,30170,대전광역시,서구,3891
108,50130,제주특별자치도,서귀포시,377
109,11410,서울특별시,서대문구,603
110,44210,충청남도,서산시,253
111,44770,충청남도,서천군,99
112,11650,서울특별시,서초구,3545
113,41131,경기도,성남시,2393
114,41133,경기도,성남시,2393
115,41135,경기도,성남시,2393
116,11200,서울특별시,성동구,1373
117,11290,서울특별시,성북구,416
118,47840,경상북도,성주군,151
119,36110,세종특별자치시,세종시,873
120,42210,강원도,속초시,117
121,11710,서울특별시,송파구,2171
122,27260,대구광역시,수성구,849
123,26500,부산광역시,수영구,344
124,41111,경기도,수원시,1735
125,41113,경기도,수원시,1735
126,41115,경기도,수원시,1735
127,41117,경기도,수원시,1735
128,45770,전라북도,순창군,60
129,46150,전라남도,순천시,418
130,41390,경기도,시흥시,1309
131,46910,전라남도,신안군,98
132,44200,충청남도,아산시,758
133,47170,경상북도,안동시,245
134,41271,경기도,안산시,2502
135,41273,경기도,안산시,2502
136,41550,경기도,안성시,517
137,41171,경기도,안양시,1083
138,41173,경기도,안양시,1083
139,42800,강원도,양구군,49
140,48330,경상남도,양산시,522
141,42830,강원도,양양군,65
142,41630,경기도,양주시,822
143,11470,서울특별시,양천구,462
144,41830,경기도,양평군,364
145,46130,전라남도,여수시,470
146,41670,경기도,여주시,263
147,28185,인천광역시,연수구,1279
148,26470,부산광역시,연제구,460
149,41800,경기도,연천군,108
150,46870,전라남도,영광군,117
151,47770,경상북도,영덕군,66
152,26200,부산광역시,영도구,106
153,43740,충청북도,영동군,60
154,11560,서울특별시,영등포구,4816
155,46830,전라남도,영암군,348
156,47760,경상북도,영양군,27
157,42750,강원도,영월군,65
158,47210,경상북도,영주시,120
159,47230,경상북도,영천시,175
160,44810,충청남도,예산군,133
161,47900,경상북도,예천군,81
162,41370,경기도,오산시,509
163,43730,충청북도,옥천군,109
