"행정구역(시군구)별","연령별","항목","단위","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월","2018 년","2019 년","2020 년",
"전국","20세","총인구수","명","668214","667069","665474","663699","660763","659613","656513","653057","651112","646609","643008","639161","637090","633598","630909","628622","627101","624357","623002","621986","619732","619417","619797","619035","622340","625659","627892","628648","630768","630787","630460","632496","634100","636143","638054","638108","639161","619035","638108",
"전국","20세","남자인구수","명","346107","345878","345104","344432","343144","342567","341239","339710","338779","336760","335215","333902","332781","330735","329273","328420","327587","326293","325488","325044","323945","323629","323367","322576","324396","326280","327642","327984","329055","328804","328641","329594","330331","331313","332569","332966","333902","322576","332966",
"전국","20세","여자인구수","명","322107","321191","320370","319267","317619","317046","315274","313347","312333","309849","307793","305259","304309","302863","301636","300202","299514","298064","297514","296942","295787","295788","296430","296459","297944","299379","300250","300664","301713","301983","301819","302902","303769","304830","305485","305142","305259","296459","305142",
"전국","21세","총인구수","명","681277","678983","676102","676340","676929","677480","678424","677630","675534","672110","670705","670613","667878","666771","665198","663419","660492","659360","656248","652777","650817","646314","642715","638851","636804","633309","630589","628313","626791","624048","622716","621691","619433","619124","619505","618752","670613","638851","618752",
"전국","21세","남자인구수","명","357907","356296","354322","353472","353179","353030","353038","352292","350890","348860","348001","347471","345880","345672","344909","344237","342961","342400","341062","339512","338564","336545","334991","333678","332576","330522","329035","328177","327355","326072","325290","324846","323742","323431","323165","322378","347471","333678","322378",
"전국","21세","여자인구수","명","323370","322687","321780","322868","323750","324450","325386","325338","324644","323250","322704","323142","321998","321099","320289","319182","317531","316960","315186","313265","312253","309769","307724","305173","304228","302787","301554","300136","299436","297976","297426","296845","295691","295693","296340","296374","323142","305173","296374",
"전국","22세","총인구수","명","708021","703102","702798","704277","703551","700714","699032","696088","694103","693582","690055","684673","680952","678688","675805","676050","676644","677238","678154","677352","675250","671790","670393","670285","667539","666412","664822","663019","660114","658988","655906","652472","650504","646035","642434","638595","684673","670285","638595",
"전국","22세","남자인구수","명","374335","371050","370775","371691","371164","369712","368668","366962","365942","365316","363120","359874","357643","356064","354083","353243","352946","352820","352813","352074","350655","348599","347731","347190","345602","345370","344594","343927","342666","342105","340798","339272","338334","336328","334779","333474","359874","347190","333474",
"전국","22세","여자인구수","명","333686","332052","332023","332586","332387","331002","330364","329126","328161","328266","326935","324799","323309","322624","321722","322807","323698","324418","325341","325278","324595","323191","322662","323095","321937","321042","320228","319092","317448","316883","315108","313200","312170","309707","307655","305121","324799","323095","305121",
"전국","23세","총인구수","명","710488","709129","711164","706113","702357","701133","699133","699582","700641","702816","703948","707318","707826","702925","702633","704122","703387","700512","698836","695876","693860","693302","689759","684354","680631","676426","675459","675724","676319","676898","677838","677074","675011","671575","670165","670075","707318","684354","670075",
"전국","23세","남자인구수","명","378808","378014","379202","376456","374449","373520","372040","371807","371805","372503","372846","374244","374052","370785","370509","371433","370894","369439","368391","366695","365652","365010","362819","359565","357340","354736","353756","352929","352632","352491","352501","351781","350377","348359","347493","346974","374244","359565","346974",
"전국","23세","여자인구수","명","331680","331115","331962","329657","327908","327613","327093","327775","328836","330313","331102","333074","333774","332140","332124","332689","332493","331073","330445","329181","328208","328292","326940","324789","323291","321690","321703","322795","323687","324407","325337","325293","324634","323216","322672","323101","333074","324789","323101",
"전국","24세","총인구수","명","709730","707017","707005","708024","710608","711220","711453","711548","712371","712915","713311","713137","710348","709053","711072","705992","702241","701000","699051","699468","700519","702681","703750","707120","707612","704601","702266","703708","702977","700129","698485","695580","693590","693076","689549","684146","713137","707120","684146",
"전국","24세","남자인구수","명","378033","376552","376235","376660","377975","378226","378436","378538","379205","379800","379865","379675","378427","377665","378849","376086","374088","373159","371717","371470","371467","372155","372470","373866","373672","371388","370034","370944","370413","368982","367960","366292","365277","364666","362492","359244","379675","373866","359244",
"전국","24세","여자인구수","명","331697","330465","330770","331364","332633","332994","333017","333010","333166","333115","333446","333462","331921","331388","332223","329906","328153","327841","327334","327998","329052","330526","331280","333254","333940","333213","332232","332764","332564","331147","330525","329288","328313","328410","327057","324902","333462","333254","324902",
"전국","25세","총인구수","명","722215","721988","724913","725901","725667","725000","724410","723272","720882","716299","713260","709738","709693","707033","706982","707995","710575","711219","711396","711435","712229","712732","713104","712882","710135","708841","710834","705762","702003","700722","698738","699146","700190","702347","703458","706819","709738","712882","706819",
"전국","25세","남자인구수","명","381734","381916","383992","384639","384845","384772","384681","384312","383331","380721","379281","377654","377631","376208","375869","376302","377612","377881","378050","378146","378803","379385","379443","379224","378002","377245","378409","375666","373662","372699","371255","370999","370982","371685","372031","373415","377654","379224","373415",
"전국","25세","여자인구수","명","340481","340072","340921","341262","340822","340228","339729","338960","337551","335578","333979","332084","332062","330825","331113","331693","332963","333338","333346","333289","333426","333347","333661","333658","332133","331596","332425","330096","328341","328023","327483","328147","329208","330662","331427","333404","332084","333658","333404",
"전국","26세","총인구수","명","703346","702121","707972","711894","714502","718280","719732","721461","723075","724259","724688","724841","722384","722143","725083","726040","725771","725121","724499","723324","720920","716330","713270","709730","709673","706963","706888","707898","710454","711117","711335","711399","712218","712687","713048","712801","724841","709730","712801",
"전국","26세","남자인구수","명","369105","368712","372067","374501","375896","377822","378699","379650","380366","381445","381968","382348","381439","381627","383722","384349","384551","384490","384384","384000","383011","380422","378979","377347","377305","375843","375508","375974","377275","377566","377750","377867","378535","379108","379184","378962","382348","377347","378962",
"전국","26세","여자인구수","명","334241","333409","335905","337393","338606","340458","341033","341811","342709","342814","342720","342493","340945","340516","341361","341691","341220","340631","340115","339324","337909","335908","334291","332383","332368","331120","331380","331924","333179","333551","333585","333532","333683","333579","333864","333839","342493","332383","333839",
"전국","27세","총인구수","명","645231","638917","646923","651512","654304","657179","661405","665811","671853","681095","690764","702366","703538","702326","708155","712081","714678","718433","719864","721557","723184","724365","724754","724896","722446","720087","725049","725961","725662","725004","724384","723211","720834","716239","713152","709626","702366","724896","709626",
"전국","27세","남자인구수","명","339683","335769","339604","341719","343007","344522","346737","349122","352509","357481","362393","367967","368856","368478","371820","374245","375633","377559","378433","379381","380089","381162","381660","382039","381148","380275","383401","384024","384218","384138","384048","383657","382676","380109","378663","377056","367967","382039","377056",
"전국","27세","여자인구수","명","305548","303148","307319","309793","311297","312657","314668","316689","319344","323614","328371","334399","334682","333848","336335","337836","339045","340874","341431","342176","343095","343203","343094","342857","341298","339812","341648","341937","341444","340866","340336","339554","338158","336130","334489","332570","334399","342857","332570",
"전국","28세","총인구수","명","630440","634835","635844","639276","642636","645293","648047","649667","649355","648167","645639","640669","645529","639257","647268","651810","654593","657475","661645","666009","672028","681229","690827","702371","703530","704387","708089","712004","714605","718365","719811","721513","723146","724321","724736","724866","640669","702371","724866",
"전국","28세","남자인구수","명","331744","334539","335281","337352","339010","340570","341723","342263","341911","341028","339900","339982","339442","335554","339406","341514","342801","344326","346535","348909","352280","357232","362116","367676","368553","369216","371478","373910","375299","377217","378091","379058","379779","380859","381389","381773","339982","367676","381773",
"전국","28세","여자인구수","명","298696","300296","300563","301924","303626","304723","306324","307404","307444","307139","305739","300687","306087","303703","307862","310296","311792","313149","315110","317100","319748","323997","328711","334695","334977","335171","336611","338094","339306","341148","341720","342455","343367","343462","343347","343093","300687","334695","343093",
"전국","29세","총인구수","명","623783","626737","626457","628003","629228","629964","631082","631332","631858","630619","629036","631457","630683","635107","636105","639529","642867","645506","648254","649825","649540","648344","645804","640832","645700","639412","647350","651888","654657","657521","661694","666030","672030","681237","690835","702365","631457","640832","702365",
"전국","29세","남자인구수","명","325375","327004","327052","328113","329302","329758","330993","331499","331950","331137","330261","328716","331521","334322","335071","337146","338799","340364","341491","342023","341667","340793","339677","339766","339227","335335","339156","341278","342583","344090","346308","348667","352031","356991","361879","367425","328716","339766","367425",
"전국","29세","여자인구수","명","298408","299733","299405","299890","299926","300206","300089","299833","299908","299482","298775","302741","299162","300785","301034","302383","304068","305142","306763","307802","307873","307551","306127","301066","306473","304077","308194","310610","312074","313431","315386","317363","319999","324246","328956","334940","302741","301066","334940",
"전국","30세","총인구수","명","620491","618198","617593","614602","614043","612873","612903","614058","615863","617674","621665","626456","623934","626897","626620","628145","629381","630104","631227","631484","631997","630740","629146","631550","630775","635176","636127","639531","642870","645519","648301","649925","649635","648421","645883","640897","626456","631550","640897",
"전국","30세","남자인구수","명","319614","319439","319430","317782","317615","317126","317270","318037","319112","320826","323420","327317","325158","326785","326833","327896","329089","329549","330786","331305","331756","330931","330044","328493","331299","334079","334811","336880","338533","340087","341226","341774","341424","340554","339455","339535","327317","328493","339535",
"전국","30세","여자인구수","명","300877","298759","298163","296820","296428","295747","295633","296021","296751","296848","298245","299139","298776","300112","299787","300249","300292","300555","300441","300179","300241","299809","299102","303057","299476","301097","301316","302651","304337","305432","307075","308151","308211","307867","306428","301362","299139","303057","301362",
"전국","31세","총인구수","명","625829","624817","622918","622950","622711","623395","621807","620857","621114","621874","620141","618363","620690","618409","617780","614808","614219","613037","613062","614210","615987","617753","621699","626485","623993","625022","626626","628151","629348","630089","631211","631454","631998","630752","629161","631573","618363","626485","631573",
"전국","31세","남자인구수","명","323337","322091","320535","320816","320482","320770","319583","319080","319169","319318","318306","316628","319436","319276","319273","317638","317458","316963","317097","317861","318920","320604","323199","327095","324937","325544","326590","327651","328829","329298","330528","331046","331511","330699","329814","328291","316628","327095","328291",
"전국","31세","여자인구수","명","302492","302726","302383","302134","302229","302625","302224","301777","301945","302556","301835","301735","301254","299133","298507","297170","296761","296074","295965","296349","297067","297149","298500","299390","299056","299478","300036","300500","300519","300791","300683","300408","300487","300053","299347","303282","301735","299390","303282",
"전국","32세","총인구수","명","649188","646286","646011","647745","647766","645935","643730","640623","638940","634307","632650","628466","625989","624991","623081","623105","622869","623500","621932","620922","621200","621966","620239","618427","620786","620411","617820","614805","614227","613046","613078","614250","616054","617826","621778","626557","628466","618427","626557",
"전국","32세","남자인구수","명","334604","333345","333629","334595","334720","333744","332848","331184","330300","328030","327211","326081","323143","321923","320374","320651","320323","320578","319406","318909","318980","319125","318123","316434","319265","320099","319061","317411","317230","316725","316874","317653","318723","320430","323021","326911","326081","316434","326911",
"전국","32세","여자인구수","명","314584","312941","312382","313150","313046","312191","310882","309439","308640","306277","305439","302385","302846","303068","302707","302454","302546","302922","302526","302013","302220","302841","302116","301993","301521","300312","298759","297394","296997","296321","296204","296597","297331","297396","298757","299646","302385","301993","299646",
