시도,구군,신설법인수
강원,강릉시,324
강원,고성군,56
강원,동해시,101
강원,삼척시,128
강원,속초시,111
강원,양구군,33
강원,양양군,51
강원,영월군,65
강원,원주시,571
강원,인제군,54
강원,정선군,69
강원,철원군,73
강원,춘천시,403
강원,태백시,35
강원,평창군,114
강원,홍천군,131
강원,화천군,42
강원,횡성군,68
경기,가평군,150
경기,고양시,1835
경기,과천시,83
경기,광명시,315
경기,광주시,825
경기,구리시,287
경기,군포시,398
경기,김포시,1296
경기,남양주시,1102
경기,동두천시,71
경기,부천시,1390
경기,성남시,2282
경기,수원시,1676
경기,시흥시,1017
경기,안산시,1554
경기,안성시,441
경기,안양시,1163
경기,양주시,438
경기,양평군,231
경기,여주시,245
경기,연천군,81
경기,오산시,379
경기,용인시,2205
경기,의왕시,193
경기,의정부시,421
경기,이천시,330
경기,파주시,1102
경기,평택시,1208
경기,포천시,386
경기,하남시,469
경기,화성시,2543
경남,거제시,258
경남,거창군,83
경남,고성군,118
경남,김해시,838
경남,남해군,49
경남,밀양시,143
경남,사천시,143
경남,산청군,68
경남,양산시,420
경남,의령군,53
경남,진주시,369
경남,창녕군,92
경남,창원시,1059
경남,통영시,123
경남,하동군,78
경남,함안군,165
경남,함양군,70
경남,합천군,105
경북,경산시,345
경북,경주시,450
경북,고령군,76
경북,구미시,605
경북,군위군,69
경북,김천시,182
경북,문경시,97
경북,봉화군,125
경북,상주시,207
경북,성주군,117
경북,안동시,244
경북,영덕군,116
경북,영양군,33
경북,영주시,118
경북,영천시,211
경북,예천군,65
경북,울릉군,10
경북,울진군,69
경북,의성군,100
경북,청도군,54
경북,청송군,37
경북,칠곡군,245
경북,포항시,573
광주,광산구,989
광주,남구,327
광주,동구,387
광주,북구,1098
광주,서구,1054
대구,남구,189
대구,달서구,689
대구,달성군,321
대구,동구,445
대구,북구,509
대구,서구,200
대구,수성구,596
대구,중구,291
대전,대덕구,326
대전,동구,235
대전,서구,781
대전,유성구,848
대전,중구,309
부산,강서구,528
부산,금정구,313
부산,기장군,223
부산,남구,346
부산,동구,275
부산,동래구,301
부산,부산진구,529
부산,북구,143
부산,사상구,346
부산,사하구,280
부산,서구,118
부산,수영구,229
부산,연제구,313
부산,영도구,105
부산,중구,227
부산,해운대구,840
서울,강남구,7445
서울,강동구,610
서울,강북구,255
서울,강서구,1321
서울,관악구,467
서울,광진구,666
서울,구로구,1523
서울,금천구,1733
서울,노원구,371
서울,도봉구,189
서울,동대문구,517
서울,동작구,374
서울,마포구,1901
서울,서대문구,443
서울,서초구,3439
서울,성동구,1165
서울,성북구,404
서울,송파구,2132
서울,양천구,483
서울,영등포구,3705
서울,용산구,773
서울,은평구,401
서울,종로구,1313
서울,중구,1609
서울,중랑구,270
울산,남구,521
울산,동구,104
울산,북구,198
울산,울주군,398
울산,중구,192
인천,강화군,116
인천,계양구,338
인천,남동구,833
인천,동구,138
인천,미추홀구,439
인천,부평구,531
인천,서구,958
인천,연수구,737
인천,옹진군,55
인천,중구,333
전남,강진군,83
전남,고흥군,198
전남,곡성군,50
전남,광양시,237
전남,구례군,26
전남,나주시,410
전남,담양군,113
전남,목포시,422
전남,무안군,208
전남,보성군,88
전남,순천시,399
전남,신안군,161
전남,여수시,350
전남,영광군,139
전남,영암군,303
전남,완도군,106
전남,장성군,168
전남,장흥군,122
전남,진도군,57
전남,함평군,85
전남,해남군,173
전남,화순군,163
전북,고창군,150
전북,군산시,486
전북,김제시,190
전북,남원시,166
전북,무주군,71
전북,부안군,120
전북,순창군,52
전북,완주군,241
전북,익산시,484
전북,임실군,50
전북,장수군,78
전북,전주시,1167
전북,정읍시,202
전북,진안군,61
제주,서귀포시,350
제주,제주시,1141
충남,계룡시,50
충남,공주시,173
충남,금산군,170
충남,논산시,147
충남,당진시,279
충남,보령시,196
충남,부여군,137
충남,서산시,166
충남,서천군,69
충남,아산시,578
충남,예산군,124
충남,천안시,1302
충남,청양군,51
충남,태안군,106
충남,홍성군,113
충북,괴산군,127
충북,단양군,41
충북,보은군,51
충북,영동군,67
충북,옥천군,94
충북,음성군,329
충북,제천시,167
충북,증평군,43
충북,진천군,174
충북,청주시,1290
충북,충주시,343
세종시,세종시,622
