year,이전후_시도,업종중분류명,count
2018,강원,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",3
2018,강원,고무 및 플라스틱제품 제조업,1
2018,강원,금속가공제품 제조업; 기계 및 가구 제외,1
2018,강원,금융 및 보험 관련 서비스업,1
2018,강원,"기타 전문, 과학 및 기술 서비스업",1
2018,강원,기타 제품 제조업,3
2018,강원,농업,2
2018,강원,도매 및 상품 중개업,9
2018,강원,목재 및 나무제품 제조업; 가구 제외,1
2018,강원,부동산업,4
2018,강원,비금속광물 광업; 연료용 제외,1
2018,강원,사업시설 관리 및 조경 서비스업,1
2018,강원,사업지원 서비스업,4
2018,강원,소매업; 자동차 제외,1
2018,강원,숙박업,1
2018,강원,식료품 제조업,2
2018,강원,"의료, 정밀, 광학기기 및 시계 제조업",1
2018,강원,"전기, 가스, 증기 및 공기조절 공급업",6
2018,강원,전문 서비스업,3
2018,강원,전문직별 공사업,10
2018,강원,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
2018,강원,종합 건설업,5
2018,강원,출판업,2
2018,강원,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2
2018,경기,1차 금속 제조업,3
2018,경기,가구 제조업,3
2018,경기,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",6
2018,경기,고무 및 플라스틱제품 제조업,6
2018,경기,광업 지원 서비스업,1
2018,경기,교육 서비스업,11
2018,경기,금속가공제품 제조업; 기계 및 가구 제외,10
2018,경기,금융 및 보험 관련 서비스업,14
2018,경기,금융업,6
2018,경기,기타 개인 서비스업,3
2018,경기,기타 기계 및 장비 제조업,21
2018,경기,기타 운송장비 제조업,3
2018,경기,"기타 전문, 과학 및 기술 서비스업",13
2018,경기,기타 제품 제조업,14
2018,경기,농업,7
2018,경기,도매 및 상품 중개업,189
2018,경기,목재 및 나무제품 제조업; 가구 제외,2
2018,경기,방송업,2
2018,경기,부동산업,44
2018,경기,비금속 광물제품 제조업,5
2018,경기,사업시설 관리 및 조경 서비스업,9
2018,경기,사업지원 서비스업,31
2018,경기,사회복지 서비스업,1
2018,경기,섬유제품 제조업; 의복제외,4
2018,경기,소매업; 자동차 제외,34
2018,경기,스포츠 및 오락관련 서비스업,4
2018,경기,식료품 제조업,20
2018,경기,연구개발업,8
2018,경기,영상ㆍ오디오 기록물 제작 및 배급업,6
2018,경기,우편 및 통신업,2
2018,경기,육상운송 및 파이프라인 운송업,7
2018,경기,음료 제조업,1
2018,경기,음식점 및 주점업,15
2018,경기,"의료, 정밀, 광학기기 및 시계 제조업",9
2018,경기,의료용 물질 및 의약품 제조업,3
2018,경기,"의복, 의복 액세서리 및 모피제품 제조업",7
2018,경기,인쇄 및 기록매체 복제업,1
