시도,구군,신설법인수,year
강원,강릉시,324,2018
강원,고성군,56,2018
강원,동해시,101,2018
강원,삼척시,128,2018
강원,속초시,111,2018
강원,양구군,33,2018
강원,양양군,51,2018
강원,영월군,65,2018
강원,원주시,571,2018
강원,인제군,54,2018
강원,정선군,69,2018
강원,철원군,73,2018
강원,춘천시,403,2018
강원,태백시,35,2018
강원,평창군,114,2018
강원,홍천군,131,2018
강원,화천군,42,2018
강원,횡성군,68,2018
경기,가평군,150,2018
경기,고양시,1835,2018
경기,과천시,83,2018
경기,광명시,315,2018
경기,광주시,825,2018
경기,구리시,287,2018
경기,군포시,398,2018
경기,김포시,1296,2018
경기,남양주시,1102,2018
경기,동두천시,71,2018
경기,부천시,1390,2018
경기,성남시,2282,2018
경기,수원시,1676,2018
경기,시흥시,1017,2018
경기,안산시,1554,2018
경기,안성시,441,2018
경기,안양시,1163,2018
경기,양주시,438,2018
경기,양평군,231,2018
경기,여주시,245,2018
경기,연천군,81,2018
경기,오산시,379,2018
경기,용인시,2205,2018
경기,의왕시,193,2018
경기,의정부시,421,2018
경기,이천시,330,2018
경기,파주시,1102,2018
경기,평택시,1208,2018
경기,포천시,386,2018
경기,하남시,469,2018
경기,화성시,2543,2018
경남,거제시,258,2018
경남,거창군,83,2018
경남,고성군,118,2018
경남,김해시,838,2018
경남,남해군,49,2018
경남,밀양시,143,2018
경남,사천시,143,2018
경남,산청군,68,2018
경남,양산시,420,2018
경남,의령군,53,2018
경남,진주시,369,2018
경남,창녕군,92,2018
경남,창원시,1059,2018
경남,통영시,123,2018
경남,하동군,78,2018
경남,함안군,165,2018
경남,함양군,70,2018
경남,합천군,105,2018
경북,경산시,345,2018
경북,경주시,450,2018
경북,고령군,76,2018
경북,구미시,605,2018
경북,군위군,69,2018
경북,김천시,182,2018
경북,문경시,97,2018
경북,봉화군,125,2018
경북,상주시,207,2018
경북,성주군,117,2018
경북,안동시,244,2018
경북,영덕군,116,2018
경북,영양군,33,2018
경북,영주시,118,2018
경북,영천시,211,2018
경북,예천군,65,2018
경북,울릉군,10,2018
경북,울진군,69,2018
경북,의성군,100,2018
경북,청도군,54,2018
경북,청송군,37,2018
경북,칠곡군,245,2018
경북,포항시,573,2018
광주,광산구,989,2018
광주,남구,327,2018
광주,동구,387,2018
광주,북구,1098,2018
광주,서구,1054,2018
대구,남구,189,2018
대구,달서구,689,2018
대구,달성군,321,2018
대구,동구,445,2018
대구,북구,509,2018
대구,서구,200,2018
대구,수성구,596,2018
대구,중구,291,2018
대전,대덕구,326,2018
대전,동구,235,2018
대전,서구,781,2018
대전,유성구,848,2018
대전,중구,309,2018
부산,강서구,528,2018
부산,금정구,313,2018
부산,기장군,223,2018
부산,남구,346,2018
부산,동구,275,2018
부산,동래구,301,2018
부산,부산진구,529,2018
부산,북구,143,2018
부산,사상구,346,2018
부산,사하구,280,2018
부산,서구,118,2018
부산,수영구,229,2018
부산,연제구,313,2018
부산,영도구,105,2018
부산,중구,227,2018
부산,해운대구,840,2018
서울,강남구,7445,2018
서울,강동구,610,2018
서울,강북구,255,2018
서울,강서구,1321,2018
서울,관악구,467,2018
서울,광진구,666,2018
서울,구로구,1523,2018
서울,금천구,1733,2018
서울,노원구,371,2018
서울,도봉구,189,2018
서울,동대문구,517,2018
서울,동작구,374,2018
서울,마포구,1901,2018
서울,서대문구,443,2018
서울,서초구,3439,2018
서울,성동구,1165,2018
서울,성북구,404,2018
서울,송파구,2132,2018
서울,양천구,483,2018
서울,영등포구,3705,2018
서울,용산구,773,2018
서울,은평구,401,2018
서울,종로구,1313,2018
서울,중구,1609,2018
서울,중랑구,270,2018
울산,남구,521,2018
울산,동구,104,2018
울산,북구,198,2018
울산,울주군,398,2018
울산,중구,192,2018
인천,강화군,116,2018
인천,계양구,338,2018
인천,남동구,833,2018
인천,동구,138,2018
인천,미추홀구,439,2018
인천,부평구,531,2018
인천,서구,958,2018
인천,연수구,737,2018
인천,옹진군,55,2018
인천,중구,333,2018
전남,강진군,83,2018
전남,고흥군,198,2018
전남,곡성군,50,2018
전남,광양시,237,2018
전남,구례군,26,2018
전남,나주시,410,2018
전남,담양군,113,2018
전남,목포시,422,2018
전남,무안군,208,2018
전남,보성군,88,2018
전남,순천시,399,2018
전남,신안군,161,2018
전남,여수시,350,2018
전남,영광군,139,2018
전남,영암군,303,2018
전남,완도군,106,2018
전남,장성군,168,2018
전남,장흥군,122,2018
전남,진도군,57,2018
전남,함평군,85,2018
전남,해남군,173,2018
전남,화순군,163,2018
전북,고창군,150,2018
전북,군산시,486,2018
전북,김제시,190,2018
전북,남원시,166,2018
전북,무주군,71,2018
전북,부안군,120,2018
전북,순창군,52,2018
전북,완주군,241,2018
전북,익산시,484,2018
전북,임실군,50,2018
전북,장수군,78,2018
전북,전주시,1167,2018
전북,정읍시,202,2018
전북,진안군,61,2018
제주,서귀포시,350,2018
제주,제주시,1141,2018
충남,계룡시,50,2018
충남,공주시,173,2018
충남,금산군,170,2018
충남,논산시,147,2018
충남,당진시,279,2018
충남,보령시,196,2018
충남,부여군,137,2018
충남,서산시,166,2018
충남,서천군,69,2018
충남,아산시,578,2018
충남,예산군,124,2018
충남,천안시,1302,2018
충남,청양군,51,2018
충남,태안군,106,2018
충남,홍성군,113,2018
충북,괴산군,127,2018
충북,단양군,41,2018
충북,보은군,51,2018
충북,영동군,67,2018
충북,옥천군,94,2018
충북,음성군,329,2018
충북,제천시,167,2018
충북,증평군,43,2018
충북,진천군,174,2018
충북,청주시,1290,2018
충북,충주시,343,2018
세종,세종시,622,2018
강원,강릉시,259,2019
강원,고성군,59,2019
강원,동해시,100,2019
강원,삼척시,113,2019
강원,속초시,92,2019
강원,양구군,43,2019
강원,양양군,44,2019
강원,영월군,74,2019
강원,원주시,536,2019
강원,인제군,47,2019
강원,정선군,70,2019
강원,철원군,59,2019
강원,춘천시,406,2019
강원,태백시,104,2019
강원,평창군,102,2019
강원,홍천군,135,2019
강원,화천군,30,2019
강원,횡성군,85,2019
경기,가평군,150,2019
경기,고양시,1905,2019
경기,과천시,71,2019
경기,광명시,360,2019
경기,광주시,942,2019
경기,구리시,273,2019
경기,군포시,379,2019
경기,김포시,1862,2019
경기,남양주시,1288,2019
경기,동두천시,111,2019
경기,부천시,1464,2019
경기,성남시,2197,2019
경기,수원시,1637,2019
경기,시흥시,1085,2019
경기,안산시,1783,2019
경기,안성시,435,2019
경기,안양시,1117,2019
경기,양주시,571,2019
경기,양평군,289,2019
경기,여주시,233,2019
경기,연천군,100,2019
경기,오산시,377,2019
경기,용인시,3483,2019
경기,의왕시,211,2019
경기,의정부시,398,2019
경기,이천시,391,2019
경기,파주시,1426,2019
경기,평택시,1219,2019
경기,포천시,459,2019
경기,하남시,585,2019
경기,화성시,3059,2019
경남,거제시,341,2019
경남,거창군,131,2019
경남,고성군,118,2019
경남,김해시,882,2019
경남,남해군,44,2019
경남,밀양시,148,2019
경남,사천시,149,2019
경남,산청군,78,2019
경남,양산시,452,2019
경남,의령군,46,2019
경남,진주시,373,2019
경남,창녕군,106,2019
경남,창원시,1056,2019
경남,통영시,147,2019
경남,하동군,87,2019
경남,함안군,181,2019
경남,함양군,62,2019
경남,합천군,101,2019
경북,경산시,370,2019
경북,경주시,449,2019
경북,고령군,66,2019
경북,구미시,584,2019
경북,군위군,48,2019
경북,김천시,226,2019
경북,문경시,90,2019
경북,봉화군,53,2019
경북,상주시,111,2019
경북,성주군,124,2019
경북,안동시,252,2019
경북,영덕군,66,2019
경북,영양군,21,2019
경북,영주시,143,2019
경북,영천시,191,2019
경북,예천군,74,2019
경북,울릉군,14,2019
경북,울진군,54,2019
경북,의성군,96,2019
