시도,year,총매출액_백만
강원,2018,2604.18810869565
강원,2019,2422.939288918205
강원,2020,1900.131780844158
경기,2018,3426.224616136035
경기,2019,3402.945418398757
경기,2020,3873.8242804919123
경남,2018,4176.902787008119
경남,2019,4496.752948665303
경남,2020,4708.5868317265495
경북,2018,2613.1084092240135
경북,2019,2521.2785866666663
경북,2020,2572.307187308091
광주,2018,2502.3402691913993
광주,2019,3364.7182079741387
광주,2020,4343.947787323942
대구,2018,3657.654859962408
대구,2019,3507.147518630413
대구,2020,3357.2799740259707
대전,2018,2330.684390977444
대전,2019,2175.5815055762077
대전,2020,1919.299564469915
부산,2018,4135.200728308023
부산,2019,3971.075251594209
부산,2020,4429.655576296303
서울,2018,4718.352881104554
서울,2019,9829.513182653905
서울,2020,5223.2012724380465
세종,2018,1572.966700564971
세종,2019,1559.1735854922285
세종,2020,1480.327686746988
울산,2018,3311.311516853932
울산,2019,3506.7588287153662
울산,2020,3706.1903169934626
인천,2018,3890.9103301759183
인천,2019,3815.4292999284166
인천,2020,4339.939555860801
전남,2018,2416.33285951787
전남,2019,2473.956546080964
전남,2020,2911.2107395243515
전북,2018,2163.7532931174082
전북,2019,2085.090012931031
전북,2020,2062.1443181367677
제주,2018,3259.6649306722707
제주,2019,2096.487477375568
제주,2020,2012.5884682779447
충남,2018,3098.755461176474
충남,2019,2645.776892220421
충남,2020,2702.2876788321114
충북,2018,2795.6655463414627
충북,2019,2906.6519760609376
충북,2020,2559.0930312076007
